method,split,accuracy,flops_per_sample,flops_reduction,latency_ms,latency_reduction,co2_kg,co2_reduction,avg_exit,notes
accuracy_first_base_0.80_alpha_0.40,test,0.872,343796879.4839198,0.38375399999997173,0.05985440280731649,0.9725712890057353,5.688478973110615e-05,0.38375399999997173,2.6107,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.80_alpha_0.50,test,0.8736,479691951.06202006,0.14016599999999269,0.08047804713501795,0.9631203555174492,7.937005074865248e-05,0.14016599999999269,3.4609,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.85_alpha_0.05,test,0.8683,271593766.21978533,0.5131759999999833,0.05607537211642637,0.9743030570260857,4.4938029416914186e-05,0.5131759999999833,2.163,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.85_alpha_0.10,test,0.8688,280653883.96954685,0.4969359999999805,0.05678223771819482,0.9739791307751612,4.643712066494384e-05,0.4969359999999805,2.2235,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.85_alpha_0.20,test,0.8719,309856027.041808,0.44459199999997134,0.05809619745585182,0.9733769992658333,5.1268920682607895e-05,0.44459199999997134,2.4107,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.85_alpha_0.30,test,0.8741,359922103.83361626,0.3548499999999709,0.05877918726299733,0.973064014269683,5.955287676516051e-05,0.3548499999999709,2.7239,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.85_alpha_0.40,test,0.8753,501014469.55929726,0.10194599999999776,0.0690337020718646,0.9683648090335321,8.289808446168671e-05,0.10194599999999776,3.6079,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.85_alpha_0.50,test,0.8764,520248251.55071956,0.06747000000000081,0.07302046772061589,0.9665378449732025,8.608051487221976e-05,0.06747000000000081,3.7405,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.90_alpha_0.05,test,0.8725,297812318.7916957,0.46617999999997184,0.05599696392746652,0.974338988143158,4.9276163178761885e-05,0.46617999999997184,2.3498,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
accuracy_first_base_0.90_alpha_0.10,test,0.8737,313711040.1976496,0.4376819999999685,0.059822378569699436,0.9725859643431743,5.190677293161574e-05,0.4376819999999685,2.4529,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
